event,date,fulldate,cov_newclin_youth,cov_newclin_adult,cov_severe_youth,cov_severe_adult,duration
1,30,2010-01-31,0.32,0.24,0.72,0.52,1614
2,1645,2014-07-04,0.48,0.36,0.72,0.52,3000
