"grid_cell","round","date","prev","N"
146,9,2015-10-02,0,31
147,7,2014-12-18,0,35
147,9,2015-10-02,0,51
148,2,2012-09-03,0.2,5
148,4,2013-06-04,0,7
148,5,2013-08-22,0.166666666666667,6
149,9,2015-09-14,0,37
149,10,2016-03-03,0,18
150,7,2014-12-20,0,21
150,9,2015-09-14,0,24
150,10,2016-03-01,0,27
151,7,2014-12-20,0,11
151,9,2015-09-15,0,30
151,10,2016-03-01,0,23
152,7,2014-12-20,0,6
152,9,2015-09-15,0,7
152,10,2016-03-03,0,16
153,7,2014-12-21,0,39
153,9,2015-09-15,0,31
154,7,2014-12-21,0,13
154,9,2015-09-16,0,20
154,10,2016-03-01,0,19
155,7,2014-12-19,0,31
155,9,2015-10-02,0,37
155,10,2016-02-26,0,17
156,7,2014-12-19,0,32
156,9,2015-10-02,0,56
156,10,2016-02-26,0,17
157,7,2014-12-19,0,37
157,9,2015-10-01,0.0161290322580645,62
157,10,2016-02-26,0,29
158,7,2014-12-19,0,42
158,9,2015-10-01,0,33
159,7,2014-12-19,0,10
159,9,2015-10-02,0,14
160,6,2013-10-15,0,4
161,9,2015-09-14,0,18
162,7,2014-12-20,0,12
162,9,2015-09-15,0,49
162,10,2016-03-01,0,45
163,7,2014-12-21,0,32
163,9,2015-09-15,0,38
163,10,2016-03-07,0,31
164,7,2014-12-19,0,22
164,9,2015-10-01,0,17
164,10,2016-02-26,0,21
165,7,2014-12-18,0,32
165,9,2015-10-01,0,57
165,10,2016-02-26,0,10
166,7,2014-12-19,0,9
166,9,2015-09-30,0,7
167,4,2013-06-18,0.125,9
168,2,2012-09-03,0,8
168,3,2012-10-29,0,10
168,4,2013-06-04,0,4
169,2,2012-09-03,0,18
169,3,2012-10-29,0,14
169,4,2013-06-04,0,21
169,5,2013-08-22,0,10
169,7,2014-12-21,0,67
170,2,2012-09-03,0,10
170,3,2012-10-29,0,15
170,4,2013-06-04,0,6
170,5,2013-08-22,0.0357142857142857,28
170,6,2013-10-15,0,3
171,9,1915-09-17,0,9
172,7,2014-12-20,0.05,23
172,9,2015-09-17,0,52
172,10,2016-02-28,0,12
173,7,2014-12-21,0,37
173,9,2015-09-15,0,66
173,10,2016-02-27,0,47
174,7,2014-12-22,0,43
174,9,2015-09-17,0.0454545454545455,35
175,7,2014-12-19,0,14
175,9,2015-09-30,0,10
176,9,2015-09-30,0,26
177,7,2014-12-15,0,21
177,9,2015-09-30,0,14
178,7,2014-12-17,0,24
178,9,2015-10-03,0,5
178,10,2016-02-26,0,20
179,2,2012-09-03,0,4
179,4,2013-06-04,0,1
180,7,2014-12-23,0,12
180,9,2015-09-17,0,28
181,7,2014-12-23,0,37
181,9,2015-09-16,0,77
181,10,2016-02-29,0,38
182,9,2015-09-17,0,19
183,7,2014-12-23,0,17
183,9,2015-09-17,0,20
184,7,2014-12-24,0,14
184,9,2015-09-18,0,30
185,7,2014-12-22,0,4
185,9,2015-09-18,0,33
186,7,2014-12-22,0,21
186,9,2015-09-29,0,16
186,10,2016-02-24,0,11
187,7,2014-12-22,0,15
187,9,2015-09-29,0,39
187,10,2016-02-24,0,22
188,7,2014-12-15,0,78
188,9,2015-09-30,0,51
188,10,2016-02-25,0,23
189,7,2014-12-15,0,75
189,9,2015-09-28,0.0588235294117647,19
189,10,2016-02-25,0,68
190,9,2015-09-28,0,10
191,9,2015-09-29,0.111111111111111,9
192,4,2013-06-19,0,3
193,3,2012-11-13,0.2,15
194,2,2012-09-03,0,8
194,3,2012-10-29,0,13
194,4,2013-06-04,0,9
195,2,2012-09-04,0.0833333333333333,12
195,3,2012-10-29,0.166666666666667,6
195,4,2013-06-04,0,8
195,5,2013-08-22,0,13
195,6,2013-10-15,0,8
196,2,2012-09-04,0.0526315789473684,19
196,3,2012-10-29,0,16
196,4,2013-06-04,0,11
196,5,2013-08-22,0,12
196,6,2013-10-15,0,16
196,7,2014-12-21,0,5
197,2,2012-09-04,0.111111111111111,9
197,3,2012-10-29,0,12
197,4,2013-06-04,0.0526315789473684,19
197,5,2013-08-22,0,1
197,6,2013-10-15,0,8
197,7,2014-12-21,0,2
198,9,2015-09-18,0.222222222222222,19
199,7,2014-12-23,0.0238095238095238,42
199,9,2015-09-18,0,18
199,10,2016-02-28,0,37
200,7,2014-12-23,0,104
200,9,2015-09-18,0,53
200,10,2016-02-27,0,71
201,7,2014-12-23,0,6
201,9,2015-09-17,0,15
201,10,2016-02-27,0,16
202,9,2015-09-16,0,10
203,7,2014-12-22,0,15
203,9,2015-09-18,0,5
204,7,2014-12-22,0,23
204,9,2015-09-29,0,12
204,10,2016-02-22,0,7
205,9,2015-09-29,0,6
206,7,2014-12-17,0,40
206,9,2015-10-01,0,33
206,10,2016-02-25,0,31
207,7,2014-12-15,0,7
207,9,2015-09-28,0,26
207,10,2016-02-24,0,43
208,9,2015-09-29,0,18
208,10,2016-02-25,0,33
209,9,2015-09-29,0,31
209,10,2016-02-24,0,33
210,4,2013-06-19,0.210526315789474,19
211,5,2013-08-22,0,17
212,2,2012-09-04,0.0909090909090909,11
212,3,2012-10-29,0,7
212,5,2013-08-22,0,12
212,6,2013-10-15,0,4
212,9,2015-09-16,0,6
213,2,2012-09-04,0.1,10
213,3,2012-10-29,0,5
213,6,2013-10-15,0,6
