"event","fulldate","cov_newclin_youth","cov_newclin_adult","cov_severe_youth","cov_severe_adult","duration","grid_cell"
"1",2010-01-01,0.238287688149234,0.158858458766156,0.357431532223851,0.238287688149234,1642,37
"2",2014-07-01,0.332628418545602,0.221752279030402,0.498942627818404,0.332628418545602,5000,37
"1",2010-01-01,0.237500201142205,0.158333467428136,0.356250301713307,0.237500201142205,1642,38
"2",2014-07-01,0.876287425328104,0.584191616885402,0.9,0.876287425328104,5000,38
"1",2010-01-01,0.237640352405308,0.158426901603539,0.356460528607962,0.237640352405308,1642,39
"2",2014-07-01,0.669832371348549,0.446554914232366,0.9,0.669832371348549,5000,39
"1",2010-01-01,0.237854166531078,0.158569444354052,0.356781249796617,0.237854166531078,1642,40
"2",2014-07-01,0.678323211419637,0.452215474279758,0.9,0.678323211419637,5000,40
"1",2010-01-01,0.238248568485404,0.158832378990269,0.357372852728106,0.238248568485404,1642,41
"2",2014-07-01,0.530772701620783,0.353848467747189,0.796159052431174,0.530772701620783,5000,41
"1",2010-01-01,0.238185926996672,0.158790617997781,0.357278890495008,0.238185926996672,1642,42
"2",2014-07-01,0.354093204464133,0.236062136309422,0.531139806696199,0.354093204464133,5000,42
"1",2010-01-01,0.238021409721753,0.158680939814502,0.357032114582629,0.238021409721753,1642,43
"2",2014-07-01,0.322420197721284,0.214946798480856,0.483630296581925,0.322420197721284,5000,43
"1",2010-01-01,0.237807242622495,0.15853816174833,0.356710863933743,0.237807242622495,1642,44
"2",2014-07-01,0.300176958496829,0.200117972331219,0.450265437745243,0.300176958496829,5000,44
"1",2010-01-01,0.238785915851242,0.159190610567495,0.358178873776863,0.238785915851242,1642,45
"2",2014-07-01,0.32146489869409,0.214309932462726,0.482197348041134,0.32146489869409,5000,45
"1",2010-01-01,0.237943702518369,0.158629135012246,0.356915553777554,0.237943702518369,1642,46
"2",2014-07-01,0.309018058546353,0.206012039030902,0.46352708781953,0.309018058546353,5000,46
"1",2010-01-01,0.237533995780794,0.158355997187196,0.356300993671192,0.237533995780794,1642,47
"2",2014-07-01,0.334114653373545,0.22274310224903,0.501171980060317,0.334114653373545,5000,47
"1",2010-01-01,0.238342338787611,0.158894892525074,0.357513508181417,0.238342338787611,1642,48
"2",2014-07-01,0.853371869280396,0.568914579520264,0.9,0.853371869280396,5000,48
"1",2010-01-01,0.238990985368152,0.159327323578768,0.358486478052227,0.238990985368152,1642,49
"2",2014-07-01,0.666415732983987,0.444277155322658,0.9,0.666415732983987,5000,49
"1",2010-01-01,0.239635000057133,0.159756666704755,0.359452500085699,0.239635000057133,1642,50
"2",2014-07-01,0.810261490478354,0.540174326985569,0.9,0.810261490478354,5000,50
"1",2010-01-01,0.240465422096934,0.160310281397956,0.360698133145401,0.240465422096934,1642,51
"2",2014-07-01,0.356350183686362,0.237566789124241,0.534525275529543,0.356350183686362,5000,51
"1",2010-01-01,0.240066301857155,0.160044201238103,0.360099452785733,0.240066301857155,1642,52
"2",2014-07-01,0.323680845476137,0.215787230317425,0.485521268214205,0.323680845476137,5000,52
"1",2010-01-01,0.237785845283015,0.158523896855343,0.356678767924522,0.237785845283015,1642,53
"2",2014-07-01,0.34850860737498,0.23233907158332,0.52276291106247,0.34850860737498,5000,53
"1",2010-01-01,0.237483239273983,0.158322159515989,0.356224858910974,0.237483239273983,1642,54
"2",2014-07-01,0.328684592515115,0.219123061676744,0.493026888772673,0.328684592515115,5000,54
"1",2010-01-01,0.241849006124477,0.161232670749652,0.362773509186716,0.241849006124477,1642,55
"2",2014-07-01,0.762810173555148,0.508540115703432,0.9,0.762810173555148,5000,55
"1",2010-01-01,0.244816066536185,0.163210711024123,0.367224099804277,0.244816066536185,1642,56
"2",2014-07-01,0.445413418267987,0.296942278845325,0.66812012740198,0.445413418267987,5000,56
"1",2010-01-01,0.244545924938339,0.163030616625559,0.366818887407508,0.244545924938339,1642,57
"2",2014-07-01,0.349560983585143,0.233040655723428,0.524341475377714,0.349560983585143,5000,57
"1",2010-01-01,0.243837297080594,0.162558198053729,0.365755945620891,0.243837297080594,1642,58
"2",2014-07-01,0.319788247181335,0.213192164787557,0.479682370772003,0.319788247181335,5000,58
"1",2010-01-01,0.237474484195381,0.158316322796921,0.356211726293072,0.237474484195381,1642,59
"2",2014-07-01,0.382186496857555,0.254790997905036,0.573279745286332,0.382186496857555,5000,59
"1",2010-01-01,0.238793755629356,0.159195837086237,0.358190633444034,0.238793755629356,1642,60
"2",2014-07-01,0.32500524299639,0.216670161997594,0.487507864494585,0.32500524299639,5000,60
"1",2010-01-01,0.240283700922232,0.160189133948155,0.360425551383349,0.240283700922232,1642,61
"2",2014-07-01,0.347004849116928,0.231336566077952,0.520507273675393,0.347004849116928,5000,61
"1",2010-01-01,0.242158131689688,0.161438754459792,0.363237197534532,0.242158131689688,1642,62
"2",2014-07-01,0.381145452941376,0.254096968627584,0.571718179412063,0.381145452941376,5000,62
"1",2010-01-01,0.244256032757295,0.16283735517153,0.366384049135943,0.244256032757295,1642,63
"2",2014-07-01,0.7067560535661,0.4711707023774,0.9,0.7067560535661,5000,63
"1",2010-01-01,0.246361220339948,0.164240813559965,0.369541830509922,0.246361220339948,1642,64
"2",2014-07-01,0.862480345617571,0.574986897078381,0.9,0.862480345617571,5000,64
"1",2010-01-01,0.251079782756772,0.167386521837848,0.376619674135158,0.251079782756772,1642,65
"2",2014-07-01,0.367981423951081,0.245320949300721,0.551972135926621,0.367981423951081,5000,65
"1",2010-01-01,0.250654377553971,0.167102918369314,0.375981566330957,0.250654377553971,1642,66
"2",2014-07-01,0.336325428076047,0.224216952050698,0.504488142114071,0.336325428076047,5000,66
"1",2010-01-01,0.237574446478022,0.158382964318681,0.356361669717032,0.237574446478022,1642,67
"2",2014-07-01,0.887228010134917,0.591485340089945,0.9,0.887228010134917,5000,67
"1",2010-01-01,0.237858890367424,0.158572593578283,0.356788335551136,0.237858890367424,1642,68
"2",2014-07-01,0.701964469221823,0.467976312814549,0.9,0.701964469221823,5000,68
"1",2010-01-01,0.239013843714134,0.159342562476089,0.358520765571201,0.239013843714134,1642,69
"2",2014-07-01,0.373728739553933,0.249152493035955,0.560593109330899,0.373728739553933,5000,69
"1",2010-01-01,0.240883569465694,0.160589046310463,0.361325354198541,0.240883569465694,1642,70
"2",2014-07-01,0.33847599651592,0.225650664343946,0.50771399477388,0.33847599651592,5000,70
"1",2010-01-01,0.24337709325272,0.162251395501813,0.36506563987908,0.24337709325272,1642,71
"2",2014-07-01,0.328144780103045,0.218763186735363,0.492217170154567,0.328144780103045,5000,71
"1",2010-01-01,0.246313387536461,0.164208925024308,0.369470081304692,0.246313387536461,1642,72
"2",2014-07-01,0.351393104951166,0.234262069967444,0.527089657426749,0.351393104951166,5000,72
"1",2010-01-01,0.249502478176117,0.166334985450745,0.374253717264175,0.249502478176117,1642,73
"2",2014-07-01,0.375304321740088,0.250202881160059,0.562956482610133,0.375304321740088,5000,73
"1",2010-01-01,0.252686840860496,0.168457893906997,0.379030261290744,0.252686840860496,1642,74
"2",2014-07-01,0.474554582751621,0.316369721834414,0.711831874127432,0.474554582751621,5000,74
"1",2010-01-01,0.318961895428608,0.212641263619072,0.478289036202258,0.318961895428608,1642,75
"2",2014-07-01,0.596228881536195,0.39748592102413,0.744650536895039,0.596201969337604,5000,75
"1",2010-01-01,0.238830178772162,0.159220119181441,0.358245268158243,0.238830178772162,1642,76
"2",2014-07-01,0.772620038340481,0.51508002556032,0.9,0.772620038340481,5000,76
"1",2010-01-01,0.238893046847462,0.159262031231641,0.358339570271193,0.238893046847462,1642,77
"2",2014-07-01,0.850027936635837,0.566685291090558,0.9,0.850027936635837,5000,77
"1",2010-01-01,0.240967690657804,0.160645127105203,0.361451535986706,0.240967690657804,1642,78
"2",2014-07-01,0.434097220085053,0.289398146723369,0.65114583012758,0.434097220085053,5000,78
"1",2010-01-01,0.243902026717868,0.162601351145245,0.365853040076802,0.243902026717868,1642,79
"2",2014-07-01,0.347453198223936,0.231635465482624,0.521179797335904,0.347453198223936,5000,79
"1",2010-01-01,0.24758994484089,0.16505996322726,0.371384917261335,0.24758994484089,1642,80
"2",2014-07-01,0.317725408877718,0.211816939251812,0.476588113316577,0.317725408877718,5000,80
"1",2010-01-01,0.251835831223433,0.167890554148955,0.377753746835149,0.251835831223433,1642,81
"2",2014-07-01,0.325537782264705,0.21702518817647,0.488306673397057,0.325537782264705,5000,81
