"mid.x","mid.y","loc.id","closest.chw.name","multi.chw.flag"
26.5180762504034,-17.4314779961722,117,"so Mapatizya Rural Health Centre Mawaya",0
26.5180762504034,-17.422494843331,118,"so Mapatizya Rural Health Centre Mawaya",0
26.5180762504034,-17.4135116904898,119,"so Mapatizya Rural Health Centre Mawaya",0
26.5275266967617,-17.8896187910731,120,"so Mapatizya Rural Health Centre Siampondo",0
26.5275266967617,-17.4404611490133,121,"so Mapatizya Rural Health Centre Mawaya",0
26.5275266967617,-17.4314779961722,122,"so Mapatizya Rural Health Centre Mawaya",0
26.5275266967617,-17.422494843331,123,"so Mapatizya Rural Health Centre Mawaya",0
26.5275266967617,-17.4135116904898,124,"so Mapatizya Rural Health Centre Mawaya",0
26.5369771431199,-17.8896187910731,125,"so Mapatizya Rural Health Centre Siampondo",0
26.5369771431199,-17.8626693325495,126,"so Simalundu RHC Static",1
26.5369771431199,-17.8536861797083,127,"so Simalundu RHC Static",1
26.5369771431199,-17.8357198740259,128,"so Simalundu RHC Static",1
26.5369771431199,-17.7638546512964,129,"so Simalundu RHC Static",1
26.5369771431199,-17.4404611490133,130,"so Mapatizya Rural Health Centre Mawaya",0
26.5369771431199,-17.4314779961722,131,"so Mapatizya Rural Health Centre Mawaya",0
26.5369771431199,-17.422494843331,132,"so Mapatizya Rural Health Centre Mawaya",0
26.5369771431199,-17.4135116904898,133,"so Mapatizya Rural Health Centre Mawaya",0
26.5369771431199,-17.4045285376486,134,"so Mapatizya Rural Health Centre Mawaya",0
26.5369771431199,-17.3955453848074,135,"so Mapatizya Rural Health Centre Mawaya",0
26.5369771431199,-17.3865622319662,136,"so Sipatunyana RHC Siamoono",0
26.5464275894782,-17.7728378041376,137,"so Simalundu RHC Static",1
26.5464275894782,-17.7638546512964,138,"so Simalundu RHC Static",1
26.5464275894782,-17.4494443018545,139,"so Siamafumba Rural Health Centre Chalinga",0
26.5464275894782,-17.4404611490133,140,"so Mapatizya Rural Health Centre Mawaya",0
26.5464275894782,-17.4314779961722,141,"so Mapatizya Rural Health Centre Mawaya",0
26.5464275894782,-17.4135116904898,142,"so Mapatizya Rural Health Centre Mawaya",0
26.5464275894782,-17.4045285376486,143,"so Mapatizya Rural Health Centre Mawaya",0
26.5464275894782,-17.3955453848074,144,"so Mapatizya Rural Health Centre Mawaya",0
26.5464275894782,-17.3865622319662,145,"so Sipatunyana RHC Siamoono",0
26.5464275894782,-17.377579079125,146,"so Sipatunyana RHC Siamoono",0
26.5464275894782,-17.3685959262838,147,"so Sipatunyana RHC Siamoono",0
26.5558780358364,-17.745888345614,148,"so Simalundu RHC Static",1
26.5558780358364,-17.4494443018545,149,"so Siamafumba Rural Health Centre Chalinga",0
26.5558780358364,-17.4404611490133,150,"so Mapatizya Rural Health Centre Mawaya",0
26.5558780358364,-17.4314779961722,151,"so Mapatizya Rural Health Centre Mawaya",0
26.5558780358364,-17.422494843331,152,"so Mapatizya Rural Health Centre Mawaya",0
26.5558780358364,-17.4135116904898,153,"so Mapatizya Rural Health Centre Mawaya",0
26.5558780358364,-17.4045285376486,154,"so Mapatizya Rural Health Centre Mawaya",0
26.5558780358364,-17.3955453848074,155,"so Mapatizya Rural Health Centre Mawaya",0
26.5558780358364,-17.3865622319662,156,"so Sipatunyana RHC Siamoono",0
26.5558780358364,-17.377579079125,157,"so Sipatunyana RHC Siamoono",0
26.5558780358364,-17.3685959262838,158,"so Sipatunyana RHC Siamoono",0
26.5558780358364,-17.3596127734426,159,"so Sipatunyana RHC Siamoono",0
26.5653284821947,-17.7548714984552,160,"so Simalundu RHC Static",1
26.5653284821947,-17.4494443018545,161,"so Siamafumba Rural Health Centre Chalinga",0
26.5653284821947,-17.422494843331,162,"so Mapatizya Rural Health Centre Mawaya",0
26.5653284821947,-17.4135116904898,163,"so Mapatizya Rural Health Centre Mawaya",0
26.5653284821947,-17.3955453848074,164,"so Sipatunyana RHC Njabalombe",0
26.5653284821947,-17.3865622319662,165,"so Sipatunyana RHC Njabalombe",0
26.5653284821947,-17.377579079125,166,"so Sipatunyana RHC Njabalombe",0
26.5747789285529,-17.8806356382319,167,"so Mapatizya Rural Health Centre Siampondo",0
26.5747789285529,-17.7638546512964,168,"so Simalundu RHC Static",1
26.5747789285529,-17.7548714984552,169,"so Simalundu RHC Static",1
26.5747789285529,-17.745888345614,170,"so Simalundu RHC Static",1
26.5747789285529,-17.4314779961722,171,"so Luyaba Rural Health Centre Muntanga",0
26.5747789285529,-17.422494843331,172,"so Luyaba Rural Health Centre Muntanga",0
26.5747789285529,-17.4135116904898,173,"so Luyaba Rural Health Centre Muntanga",0
26.5747789285529,-17.4045285376486,174,"so Sipatunyana RHC Njabalombe",0
26.5747789285529,-17.3955453848074,175,"so Sipatunyana RHC Njabalombe",0
26.5747789285529,-17.3865622319662,176,"so Sipatunyana RHC Njabalombe",0
26.5747789285529,-17.377579079125,177,"so Sipatunyana RHC Njabalombe",0
