"grid_cell","round","prev","N"
191,9,0.111111111111111,9
192,4,0,3
193,3,0.2,15
194,2,0,8
194,3,0,13
194,4,0,9
195,2,0.0833333333333333,12
195,3,0.166666666666667,6
195,4,0,8
195,5,0,13
195,6,0,8
196,2,0.0526315789473684,19
196,3,0,16
196,4,0,11
196,5,0,12
196,6,0,16
196,7,0,5
197,2,0.111111111111111,9
197,3,0,12
197,4,0.0526315789473684,19
197,5,0,1
197,6,0,8
197,7,0,2
198,9,0.222222222222222,19
199,7,0.0294117647058824,34
199,9,0,18
199,10,0,37
200,7,0,74
200,9,0,53
200,10,0,71
201,7,0,6
201,9,0,15
201,10,0,16
202,9,0,10
203,7,0,15
203,9,0,5
204,7,0,23
204,9,0,12
204,10,0,7
205,9,0,6
206,7,0,40
206,9,0,33
206,10,0,31
207,7,0,7
207,9,0,26
207,10,0,43
208,9,0,18
208,10,0,33
209,9,0,31
209,10,0,33
210,4,0.210526315789474,19
211,5,0,17
212,2,0.0909090909090909,11
212,3,0,7
212,5,0,12
212,6,0,4
212,9,0,6
213,2,0.1,10
213,3,0,5
213,6,0,6
214,7,0,4
215,9,0,17
216,7,0,17
216,9,0,17
217,7,0,14
217,9,0,4
217,10,0,31
218,7,0,41
218,9,0,11
218,10,0,42
219,9,0,10
219,10,0,15
220,7,0,27
220,9,0,21
220,10,0,9
221,7,0,38
221,9,0,37
221,10,0,11
222,7,0,23
222,9,0,26
222,10,0,43
223,10,0,16
224,10,0,9
225,9,0,5
226,2,0,6
226,3,0,11
226,4,0,19
227,5,0.166666666666667,6
227,6,0,4
228,4,0,11
229,2,0,8
229,3,0,5
229,4,0,6
229,5,0,4
229,6,0,12
230,2,0.0666666666666667,15
230,3,0,14
230,5,0,7
230,6,0,33
230,9,0,3
230,10,0,7
231,1,0,4
231,2,NA,6
231,3,0,21
231,4,0,7
232,2,0,4
232,3,0,8
232,4,0,6
232,5,0,13
232,6,0,11
233,2,0,4
233,3,0,4
233,4,0,1
234,9,0,21
235,9,0,7
236,7,0,8
236,9,0,13
236,10,0,30
237,7,0,12
237,9,0,2
237,10,0,6
238,9,0,41
239,7,0,9
239,9,0,49
240,7,0,78
240,9,0,60
241,7,0,48
241,9,0,27
241,10,0,36
242,7,0,36
242,9,0,19
242,10,0,17
243,7,0,23
243,10,0,23
244,9,0,14
245,9,0,16
245,10,0,7
246,7,0,8
246,9,0,5
246,10,0,17
247,7,0,12
247,8,0,20
247,9,0,20
247,10,0,18
248,1,0.0909090909090909,11
248,2,0,24
248,3,0.0588235294117647,17
248,4,0.05,20
248,5,0,11
249,4,0,3
249,5,0,3
250,4,0,7
250,5,0,7
251,1,0.0285714285714286,36
251,2,0.0125,90
251,3,0,83
251,4,0,65
251,5,0,43
251,6,0,34
251,7,0.0232558139534884,43
251,9,0,76
251,10,0,44
252,2,0,10
252,3,0,10
252,9,0,12
252,10,0,9
253,10,0,11
254,10,0,11
255,7,0.157894736842105,19
255,9,0,5
256,9,0,19
257,7,0,7
257,9,0,24
257,10,0,11
258,7,0,24
259,7,0,58
259,9,0,28
259,10,0,15
260,7,0,29
260,9,0,16
260,10,0,12
261,7,0,16
261,9,0,13
261,10,0,15
262,10,0,6
263,7,0,17
263,9,0,42
263,10,0,25
264,9,0,7
264,10,0,28
265,8,0,6
265,9,0,10
265,10,0,9
266,7,0,10
266,8,0,15
266,9,0,21
266,10,0,7
267,7,0,17
267,8,0,17
267,9,0.0714285714285714,28
268,7,0,7
268,9,0,8
269,3,0.0526315789473684,19
269,4,0.227272727272727,22
269,5,0,26
269,6,0,15
270,6,0,4
271,1,0.222222222222222,9
271,2,0.307692307692308,26
271,3,0.0740740740740741,27
271,4,0.1,20
271,6,0.1,10
271,8,0,11
272,1,0.5,11
272,2,0.181818181818182,12
272,3,0,7
272,4,0,8
272,6,0.105263157894737,19
273,1,0,14
273,2,0,18
273,4,0,26
273,5,0,44
273,6,0,22
273,7,0,43
273,9,0.0384615384615385,29
273,10,0,13
274,9,0,24
274,10,0,37
275,9,0,7
275,10,0,25
276,9,0,24
277,7,0,13
277,9,0,15
277,10,0.2,5
278,7,0,19
278,9,0,31
278,10,0,25
279,7,0,27
279,10,0,32
280,7,0,60
280,9,0,32
280,10,0,36
281,7,0,51
281,9,0,9
281,10,0,29
282,7,0,55
282,9,0,30
282,10,0,16
283,7,0,56
283,9,0,5
283,10,0,63
284,9,0,17
285,9,0,13
285,10,0,8
286,9,0,5
286,10,0,4
287,10,0,19
288,7,0,16
288,8,0,14
288,9,0,32
288,10,0,26
289,7,0,33
289,8,0,44
289,9,0,42
289,10,0,22
290,8,0,8
290,9,0,7
291,7,0,9
291,9,0,10
291,10,0,8
292,1,0.0909090909090909,11
292,2,0,5
292,3,0,6
292,5,0,5
292,6,0,6
293,3,0,3
293,4,0,4
293,6,0,5
293,10,0,8
294,1,0.428571428571429,10
294,2,0.230769230769231,13
294,3,0.375,9
294,4,0,11
294,5,0.25,12
294,6,0.05,20
295,1,0.3125,16
295,3,0,9
296,1,0.5,8
296,2,0.0384615384615385,27
296,3,0,11
296,4,0.0625,48
296,5,0,24
296,6,0.285714285714286,7
296,8,0,12
297,9,0,8
298,7,0,16
298,9,0,5
298,10,0,26
299,7,0.0909090909090909,13
299,9,0,6
300,7,0,42
300,9,0,39
300,10,0,32
301,7,0,36
301,9,0,29
301,10,0,31
302,9,0,14
303,10,0,8
304,7,0,23
304,9,0,20
304,10,0,18
305,7,0,108
305,9,NA,2
305,10,0,52
306,7,0,71
306,9,0,37
306,10,0,47
307,7,0,7
307,9,0,15
308,7,0,12
308,9,0,3
308,10,0,3
309,9,NA,1
310,9,0,10
311,9,0,30
312,9,0,8
313,7,0.0175438596491228,57
313,8,0,9
313,9,0,26
313,10,0,12
314,7,0.037037037037037,27
314,8,0,40
314,9,0,14
314,10,0,23
315,7,0,21
315,8,0,21
315,10,0,20
316,7,0,46
316,8,0,29
316,10,0,26
317,7,0,19
317,8,0,32
317,9,0,38
317,10,0,37
318,7,0,10
318,8,0,14
318,9,0,7
318,10,0,12
319,7,0,3
319,8,0,3
319,9,0,9
319,10,0,9
320,8,0.1,10
320,9,0,10
321,3,0,4
322,6,0,8
323,6,0,2
324,3,0,4
324,4,0,10
324,5,0,8
324,10,0.153846153846154,13
325,9,0,17
325,10,0,2
326,9,0,9
326,10,0,14
327,9,0,4
328,9,0,21
328,10,0,6
329,7,0,34
329,9,0,43
329,10,0,50
330,7,0,17
330,9,0.04,25
330,10,0,9
331,7,0.0147058823529412,69
331,9,0,4
331,10,0,26
332,7,0,22
332,10,0,15
333,7,0.0666666666666667,15
333,10,0,26
334,7,0,20
334,9,0,8
334,10,0,9
335,7,0,10
335,10,0,23
336,7,0,14
336,9,0,28
336,10,0,31
337,9,0,23
337,10,0,36
338,9,0,15
339,10,0,26
340,7,0,29
340,8,0,41
340,9,0,25
340,10,0,13
341,7,0,14
341,8,0,20
341,9,0,7
341,10,0,12
342,7,0,26
342,8,0,7
342,9,0,12
342,10,0,17
343,7,0,15
343,8,0,16
343,9,0,12
343,10,0,14
344,7,0,4
344,8,0,2
344,9,0,9
344,10,0,4
345,7,0,18
345,8,0.0333333333333333,30
345,9,0,33
345,10,0,32
346,7,0,33
346,8,0,17
346,9,0,18
347,1,0.25,27
347,2,0.115384615384615,53
347,3,0,21
347,4,0.0909090909090909,22
347,5,0.0555555555555556,18
347,6,0,18
347,8,0.153846153846154,14
348,1,0.303030303030303,33
348,2,0,16
348,3,0,15
348,4,0.0476190476190476,23
348,5,0,18
348,6,0,23
348,8,0,15
349,10,0,6
350,10,0,11
351,10,0,10
352,9,0,3
353,9,0,19
353,10,0,10
354,9,0,60
354,10,0,51
355,7,0,4
355,9,0,6
355,10,0,5
356,7,0,33
356,9,0,8
356,10,0,19
357,7,0,37
357,9,0,26
357,10,0,14
358,7,0,13
358,9,0,6
358,10,0,8
359,7,0,13
359,9,0,16
359,10,0,8
360,7,0,17
360,9,0,12
360,10,0,19
361,7,0,23
361,9,0,45
361,10,0,43
362,7,0,10
362,9,0,27
362,10,0,40
363,7,0,25
363,9,0,68
363,10,0,45
364,7,0,17
364,9,0,31
364,10,0,7
365,7,0,7
365,10,0,10
366,7,0,9
366,10,0,12
367,9,0,21
367,10,0,16
368,9,0,8
369,9,0,13
369,10,0,5
370,7,0,20
370,8,0,8
370,9,0,5
370,10,0,5
371,7,0,48
371,8,0,29
371,9,0,44
371,10,0,38
372,7,0,14
372,10,0,8
373,7,0,7
373,8,0,17
373,10,0,8
374,7,0,26
374,8,0,7
374,9,0,10
374,10,0,17
375,9,0,7
376,7,0,77
376,8,0,26
376,9,0,28
376,10,0,44
377,8,0,20
377,9,0,11
377,10,0,3
378,7,0,6
378,8,0.6,20
378,9,0,20
378,10,0.125,9
379,7,0,3
380,7,0,9
380,10,0,32
381,10,0,17
382,7,0,14
382,10,0,23
383,10,0,8
384,9,0,32
384,10,0,42
385,7,0.444444444444444,18
385,9,0,35
385,10,0,27
386,7,0.161290322580645,31
386,9,0,14
386,10,0,51
387,7,0.0256410256410256,39
387,9,0,37
387,10,0,36
388,9,0,2
388,10,0,6
389,9,0,2
389,10,0,5
390,7,0,14
390,9,0,18
390,10,0,20
391,9,0,9
391,10,0,18
392,9,0,12
392,10,0,17
393,9,0,12
393,10,0,13
394,9,0,8
394,10,0,19
395,9,0,3
395,10,0,19
396,9,0.0384615384615385,27
396,10,0,35
397,9,0,10
397,10,0,4
398,8,0,3
399,8,0,23
399,9,0,17
399,10,0,22
400,8,0,7
400,9,0.105263157894737,57
400,10,0,26
401,7,0,20
401,8,0,18
401,9,0,14
402,7,0,19
402,9,0,14
402,10,0,10
403,7,0,23
403,8,0,15
403,9,0,10
403,10,0,7
404,7,0,7
404,8,0,14
404,9,0,17
405,7,0,24
405,8,0,14
405,9,0,20
405,10,0,25
406,7,0,8
406,8,0,6
406,9,0,12
407,7,0,21
407,9,0,7
408,7,0,5
408,8,0,7
408,9,0,7
408,10,0,9
409,9,0,6
409,10,0,7
410,7,0,14
410,8,0,17
411,7,0,11
411,9,0,25
411,10,0,7
412,2,0,12
412,4,0,15
412,6,0,13
413,4,0,12
413,9,0,9
414,7,0.04,25
414,9,0,18
415,7,0,9
415,9,0,7
416,7,0,28
416,9,0,16
416,10,0,11
417,10,0,4
418,7,0,9
418,9,0,5
418,10,0,38
419,9,0,9
419,10,0,24
420,9,0,8
420,10,0,13
421,7,0.2,5
421,9,0,10
421,10,0,26
422,7,0,35
422,9,0,9
423,9,0,13
423,10,0,16
424,9,0,18
424,10,0,16
425,9,0,5
425,10,0,14
426,9,0,19
426,10,0,31
427,9,0,21
427,10,0,37
428,9,0,21
428,10,0,23
429,9,0,23
429,10,0,10
430,10,0,20
431,9,0,67
431,10,0,37
432,8,0,49
432,9,0,31
432,10,0,48
433,8,0,7
433,9,0,7
433,10,0,12
434,8,0,10
434,9,0,11
434,10,0,10
435,7,0,11
435,8,0,2
435,9,0,11
436,8,0,7
436,9,0,10
436,10,0,3
437,7,0,4
437,8,0,12
437,9,0,27
437,10,0,28
438,7,0,29
438,8,0,20
438,9,0,41
438,10,0.125,9
439,7,0,10
439,8,0,18
439,9,0,7
439,10,0,21
440,7,0,17
440,8,0,5
440,9,0,11
440,10,0,14
441,7,0,11
441,8,0,12
441,9,0.0714285714285714,14
442,8,0,4
442,9,0,10
443,7,0,18
443,8,0,3
443,9,0,16
443,10,0,19
444,7,0,29
444,8,0,29
444,9,0,37
444,10,0,25
445,7,0,13
445,9,0,21
445,10,0,17
446,1,0,11
446,2,0,7
446,3,0,8
446,4,0,11
446,6,0,38
447,1,0,1
447,2,0,5
447,4,0,5
447,5,0,8
447,7,0,5
447,8,0,11
447,9,0,4
448,2,0,7
448,4,0,3
448,8,0,6
448,9,0,9
449,1,0.0454545454545455,22
449,2,0,3
449,4,0,10
449,5,0,10
449,8,0,1
450,7,0,4
451,2,0,4
451,3,0,6
451,4,0,5
451,5,0.0666666666666667,15
451,6,NA,14
451,10,0,4
452,7,0,24
453,7,0.0769230769230769,26
454,7,0.0454545454545455,22
455,7,0,2
455,9,0,6
456,9,0,4
456,10,0,39
457,7,0,35
457,9,0,34
457,10,0,43
458,9,0,4
459,9,0,10
460,7,0,34
460,9,0,29
461,9,0,8
462,10,0,6
463,10,0,27
464,10,0,13
465,10,0,13
466,10,0,10
467,8,0,9
467,9,0,22
467,10,0.125,25
468,7,0.0277777777777778,36
468,8,0,13
468,9,0,13
469,7,0,31
469,8,0,21
469,9,0,62
470,8,0,13
470,9,0,3
470,10,0,3
471,7,0,24
471,8,0,19
471,9,0,27
471,10,0,20
472,7,0,55
472,8,0.0232558139534884,43
472,9,0,53
472,10,0,30
473,7,0,36
473,8,0,26
473,9,0,14
474,9,0,26
475,7,0,40
475,8,0,5
475,9,0,22
476,7,0,18
476,8,0,9
476,9,0,10
477,7,0,8
477,8,0,5
477,9,0,9
478,7,0,26
478,8,0,9
478,9,0,20
478,10,0,26
479,7,0,34
479,8,0,15
479,9,0,39
479,10,0,22
480,7,0,15
480,8,0,9
480,9,0,11
481,7,0,3
481,8,0.0416666666666667,26
481,9,0,22
481,10,0,11
482,7,0,7
482,9,0,8
482,10,0,7
483,10,0,4
484,6,0.2,15
485,2,0.266666666666667,64
485,3,0.0666666666666667,45
485,4,0.0606060606060606,33
485,5,0.0754716981132075,53
485,6,0.0212765957446809,48
485,8,0.03125,35
485,9,0.214285714285714,15
486,2,0.166666666666667,13
486,3,0,3
486,5,0,7
486,6,0,9
486,8,0.125,9
487,1,0.25,9
487,2,0,3
487,6,0,8
487,9,0,9
488,2,0.1,20
488,5,0.125,16
488,6,0,5
488,8,0,10
488,9,0,4
489,1,0.0909090909090909,25
489,2,0,13
489,3,0,6
489,4,0,19
489,5,0,6
489,6,0,5
489,8,0,22
489,9,0,8
490,1,0.2,8
490,2,0.0227272727272727,46
490,3,0.0434782608695652,46
490,4,0.0333333333333333,32
490,5,0,10
490,6,0.125,16
490,8,0,35
490,9,0,20
491,2,0,3
491,3,0.2,5
491,4,0.142857142857143,7
492,2,0.0333333333333333,31
492,3,0,10
492,4,0,4
492,5,0,1
492,6,0,9
493,2,0,23
493,3,0,5
493,4,0,9
493,5,0.0416666666666667,24
493,6,0,15
493,8,0,13
493,10,0,5
494,1,0,2
494,2,0,23
494,3,0,62
494,4,0,19
494,5,0,5
494,6,0.125,16
494,7,0,7
494,8,0,5
494,9,0.111111111111111,10
495,1,0,10
495,2,0,11
495,4,0,7
495,5,0,8
495,10,0,6
496,1,0,32
496,2,0.02,50
496,3,0,13
496,4,0,31
496,5,0,30
496,6,0,24
496,7,0,44
496,8,0,39
496,9,0,22
496,10,0,35
497,2,0,13
497,3,0,23
497,4,0,15
497,5,0.0434782608695652,23
497,6,0,12
497,7,0,17
497,8,0,17
497,10,0,20
498,1,0,8
498,2,0,17
498,3,0,19
498,4,0,6
498,6,0,41
498,7,0,3
498,8,0,9
498,9,0.25,8
498,10,0,15
499,2,0,25
499,3,0,23
