"event","fulldate","cov_all","killing","duration","grid_cell"
1,2015-07-19,0.666666666666667,0.9,180,571
2,2016-01-17,1,0.9,180,571
1,2015-05-14,1,0.9,180,574
1,2015-03-10,0.714285714285714,0.9,180,578
1,2015-01-01,0.833333333333333,0.9,180,580
1,2014-12-21,1,0.9,180,582
1,2014-12-21,0.5,0.9,180,583
2,2015-01-01,1,0.9,180,583
1,2015-01-29,0.285714285714286,0.9,180,584
2,2015-03-17,0.777777777777778,0.9,180,584
3,2015-11-14,0.666666666666667,0.9,180,584
1,2016-01-15,0.333333333333333,0.9,180,586
1,2016-01-15,1,0.9,180,587
1,2016-01-17,0.833333333333333,0.9,180,598
1,2016-01-17,1,0.9,180,599
1,2015-02-27,0.25,0.9,180,600
2,2016-01-13,0.666666666666667,0.9,180,600
1,2016-01-19,1,0.9,180,602
1,2016-01-15,1,0.9,180,603
1,2016-01-18,1,0.9,180,604
1,2014-12-16,1,0.9,180,605
2,2016-01-08,0.666666666666667,0.9,180,605
1,2014-09-15,0.5,0.9,180,606
1,2015-07-17,0.5,0.9,180,608
1,2015-07-17,1,0.9,180,609
1,2015-07-18,0.5,0.9,180,610
1,2015-12-17,0.333333333333333,0.9,180,611
1,2014-12-11,0.333333333333333,0.9,180,612
1,2015-07-18,1,0.9,180,613
2,2016-01-17,0.333333333333333,0.9,180,613
1,2015-09-17,1,0.9,180,614
1,2015-06-09,1,0.9,180,615
2,2015-07-13,0.333333333333333,0.9,180,615
1,2015-05-10,0.5,0.9,180,617
1,2015-01-01,1,0.9,180,619
1,2015-12-09,0.25,0.9,180,626
1,2015-12-09,1,0.9,180,627
1,2015-12-09,1,0.9,180,628
1,2015-12-17,1,0.9,180,629
1,2014-10-02,0.333333333333333,0.9,180,630
2,2015-12-17,0.5,0.9,180,630
1,2016-01-17,0.666666666666667,0.9,180,634
1,2015-12-18,0.571428571428571,0.9,180,635
1,2016-01-18,0.666666666666667,0.9,180,636
1,2016-01-18,0.666666666666667,0.9,180,637
1,2016-01-28,1,0.9,180,638
1,2014-12-19,0.428571428571429,0.9,180,639
1,2016-01-26,1,0.9,180,640
1,2016-01-20,1,0.9,180,641
1,2016-01-18,1,0.9,180,642
1,2014-09-16,1,0.9,180,643
1,2015-07-17,0.333333333333333,0.9,180,647
2,2016-01-06,0.4,0.9,180,647
1,2015-07-18,1,0.9,180,648
1,2015-07-25,0.666666666666667,0.9,180,654
1,2015-06-09,1,0.9,180,655
1,2015-07-08,0.5,0.9,180,656
2,2015-07-09,1,0.9,180,656
1,2012-05-26,0.5,0.9,180,658
1,2014-06-19,0.375,0.9,180,661
1,2015-10-12,1,0.9,180,668
1,2015-09-10,0.5,0.9,180,671
1,2015-12-17,0.714285714285714,0.9,180,672
1,2015-12-20,1,0.9,180,676
1,2015-12-18,0.25,0.9,180,677
1,2016-01-18,0.666666666666667,0.9,180,678
1,2015-01-23,0.461538461538462,0.9,180,679
2,2015-12-19,1,0.9,180,679
1,2014-12-13,0.4,0.9,180,680
2,2016-01-31,1,0.9,180,680
1,2015-12-20,0.5,0.9,180,681
1,2016-01-19,1,0.9,180,682
1,2015-12-24,1,0.9,180,684
1,2015-12-24,1,0.9,180,685
1,2015-11-21,1,0.9,180,687
1,2015-01-30,0.25,0.9,180,688
1,2014-12-30,0.666666666666667,0.9,180,692
1,2015-01-29,0.333333333333333,0.9,180,693
1,2015-07-10,0.5,0.9,180,695
2,2015-07-13,0.333333333333333,0.9,180,695
1,2015-07-25,1,0.9,180,696
1,2015-05-10,1,0.9,180,697
1,2015-03-21,0.333333333333333,0.9,180,709
1,2015-05-14,0.25,0.9,180,712
1,2015-12-18,1,0.9,180,713
1,2015-12-18,1,0.9,180,714
1,2016-01-19,1,0.9,180,717
1,2015-12-21,1,0.9,180,718
1,2016-01-19,0.5,0.9,180,719
1,2015-12-19,0.5,0.9,180,720
1,2015-12-19,1,0.9,180,721
1,2016-01-18,1,0.9,180,722
1,2016-01-08,1,0.9,180,726
1,2016-01-09,0.4,0.9,180,727
1,2015-12-24,1,0.9,180,728
1,2014-12-17,0.666666666666667,0.9,180,729
1,2014-12-17,1,0.9,180,730
1,2014-12-16,0.75,0.9,180,731
1,2014-10-31,0.285714285714286,0.9,180,732
1,2015-03-01,1,0.9,180,735
1,2015-05-26,0.333333333333333,0.9,180,736
1,2015-03-10,1,0.9,180,739
1,2015-01-16,1,0.9,180,747
1,2015-01-19,0.5,0.9,180,755
1,2015-12-12,0.25,0.9,180,756
1,2015-12-18,1,0.9,180,761
1,2015-12-18,1,0.9,180,762
1,2016-02-21,0.8,0.9,180,766
1,2016-01-27,0.25,0.9,180,767
1,2015-12-20,1,0.9,180,768
1,2016-02-03,1,0.9,180,769
1,2016-02-03,1,0.9,180,770
1,2016-01-03,1,0.9,180,771
1,2016-01-12,1,0.9,180,773
1,2016-01-10,1,0.9,180,774
1,2015-12-24,0.333333333333333,0.9,180,777
1,2014-09-17,1,0.9,180,778
1,2015-01-16,1,0.9,180,779
1,2016-01-19,0.4,0.9,180,781
1,2014-10-06,1,0.9,180,784
1,2015-01-20,1,0.9,180,785
1,2015-03-18,0.5,0.9,180,796
2,2015-11-15,1,0.9,180,796
1,2016-01-15,1,0.9,180,797
1,2014-06-18,1,0.9,180,798
1,2014-09-18,1,0.9,180,799
1,2015-02-01,0.666666666666667,0.9,180,803
1,2015-02-16,0.25,0.9,180,804
1,2015-11-17,0.833333333333333,0.9,180,807
1,2015-11-17,1,0.9,180,808
1,2015-03-21,1,0.9,180,809
1,2015-02-20,0.666666666666667,0.9,180,810
1,2015-12-28,0.714285714285714,0.9,180,817
1,2014-12-20,0.6,0.9,180,819
2,2014-12-24,1,0.9,180,819
1,2015-01-22,0.5,0.9,180,820
1,2016-01-28,1,0.9,180,821
1,2016-01-19,1,0.9,180,823
1,2015-12-19,0.875,0.9,180,824
1,2015-12-20,1,0.9,180,825
1,2016-02-10,0.8,0.9,180,826
1,2014-10-24,0.3,0.9,180,827
1,2016-01-11,1,0.9,180,828
1,2016-01-27,0.666666666666667,0.9,180,829
1,2016-02-10,0.5,0.9,180,830
1,2014-09-21,0.25,0.9,180,831
1,2014-09-21,0.666666666666667,0.9,180,832
1,2016-01-18,1,0.9,180,834
1,2014-09-20,1,0.9,180,835
1,2015-02-19,1,0.9,180,836
1,2015-03-18,0.8,0.9,180,841
2,2015-12-01,1,0.9,180,841
1,2014-09-17,0.333333333333333,0.9,180,843
1,2014-09-10,0.8,0.9,180,849
2,2015-03-22,0.333333333333333,0.9,180,849
3,2015-12-01,0.625,0.9,180,849
1,2016-01-31,1,0.9,180,850
1,2015-01-20,1,0.9,180,853
1,2015-10-13,0.25,0.9,180,857
1,2016-01-06,0.4,0.9,180,860
1,2015-12-27,0.333333333333333,0.9,180,861
1,2014-12-18,0.7,0.9,180,862
2,2015-01-19,0.777777777777778,0.9,180,862
3,2016-01-26,1,0.9,180,862
1,2014-12-15,1,0.9,180,863
2,2014-12-29,0.75,0.9,180,863
3,2016-01-11,0.75,0.9,180,863
1,2014-12-10,1,0.9,180,864
2,2014-12-18,1,0.9,180,864
1,2016-01-24,1,0.9,180,865
1,2014-12-19,0.5,0.9,180,866
2,2015-01-12,0.375,0.9,180,866
3,2016-01-30,0.916666666666667,0.9,180,866
1,2014-01-02,0.5,0.9,180,867
2,2015-01-31,1,0.9,180,867
3,2016-01-25,0.666666666666667,0.9,180,867
1,2014-11-02,0.666666666666667,0.9,180,868
2,2016-01-10,0.333333333333333,0.9,180,868
1,2014-10-27,0.5,0.9,180,871
1,2014-09-27,0.5,0.9,180,872
1,2014-12-02,0.4,0.9,180,873
1,2014-10-20,1,0.9,180,882
1,2015-08-30,0.666666666666667,0.9,180,886
1,2015-03-19,0.333333333333333,0.9,180,890
1,2016-01-31,1,0.9,180,896
1,2016-01-30,1,0.9,180,897
1,2016-01-17,0.333333333333333,0.9,180,899
1,2015-12-13,0.75,0.9,180,903
1,2016-01-17,1,0.9,180,905
1,2015-12-28,1,0.9,180,906
1,2014-07-29,0.333333333333333,0.9,180,907
2,2014-12-19,0.5,0.9,180,907
3,2015-01-19,1,0.9,180,907
4,2015-12-28,1,0.9,180,907
1,2014-08-11,0.222222222222222,0.9,180,908
2,2014-12-13,0.75,0.9,180,908
3,2014-12-29,1,0.9,180,908
4,2016-01-13,0.75,0.9,180,908
1,2014-10-14,0.666666666666667,0.9,180,909
2,2014-12-29,0.333333333333333,0.9,180,909
3,2016-01-09,0.571428571428571,0.9,180,909
1,2013-12-11,0.285714285714286,0.9,180,910
2,2014-12-10,0.333333333333333,0.9,180,910
3,2016-01-02,0.75,0.9,180,910
1,2014-12-23,0.5625,0.9,180,911
2,2015-01-01,0.257575757575758,0.9,180,911
3,2016-01-01,0.9,0.9,180,911
1,2014-11-12,0.222222222222222,0.9,180,912
2,2015-01-04,0.6,0.9,180,912
3,2015-01-30,0.333333333333333,0.9,180,912
4,2016-02-09,0.7,0.9,180,912
1,2016-01-30,1,0.9,180,913
1,2016-01-31,0.25,0.9,180,914
1,2016-01-01,0.947368421052632,0.9,180,915
1,2016-01-11,0.75,0.9,180,917
1,2014-10-10,1,0.9,180,919
1,2016-02-17,0.333333333333333,0.9,180,925
1,2013-03-01,0.5,0.9,180,926
1,2015-06-11,1,0.9,180,928
1,2015-12-16,0.333333333333333,0.9,180,930
1,2015-03-18,1,0.9,180,931
1,2016-01-30,1,0.9,180,940
1,2015-12-18,1,0.9,180,943
1,2016-02-01,0.285714285714286,0.9,180,945
1,2014-12-26,1,0.9,180,947
2,2015-01-21,0.666666666666667,0.9,180,947
1,2014-01-20,0.25,0.9,180,948
2,2014-11-13,1,0.9,180,948
3,2016-01-16,0.8,0.9,180,948
1,2015-02-09,0.25,0.9,180,949
2,2015-12-01,0.833333333333333,0.9,180,949
1,2016-01-16,1,0.9,180,950
1,2014-11-30,1,0.9,180,951
2,2015-01-01,0.555555555555556,0.9,180,951
3,2015-01-09,0.6,0.9,180,951
4,2015-12-31,1,0.9,180,951
1,2014-10-26,0.375,0.9,180,952
2,2015-01-04,0.666666666666667,0.9,180,952
3,2015-01-27,0.272727272727273,0.9,180,952
4,2016-01-30,0.666666666666667,0.9,180,952
1,2014-12-25,0.666666666666667,0.9,180,953
2,2015-01-04,0.375,0.9,180,953
3,2015-01-27,0.571428571428571,0.9,180,953
4,2015-12-31,1,0.9,180,953
1,2016-01-22,0.6,0.9,180,955
1,2015-12-23,0.833333333333333,0.9,180,956
1,2015-12-23,1,0.9,180,957
1,2014-11-04,1,0.9,180,958
1,2015-06-09,0.5,0.9,180,963
1,2015-12-15,0.5,0.9,180,967
1,2015-12-16,0.5,0.9,180,968
1,2014-10-23,0.666666666666667,0.9,180,972
2,2015-12-28,0.666666666666667,0.9,180,972
1,2014-09-07,0.666666666666667,0.9,180,973
1,2015-11-26,1,0.9,180,975
1,2015-03-22,0.333333333333333,0.9,180,976
2,2015-11-26,1,0.9,180,976
1,2015-01-10,0.333333333333333,0.9,180,980
1,2015-01-17,1,0.9,180,981
1,2015-01-28,1,0.9,180,983
1,2014-12-11,0.333333333333333,0.9,180,985
2,2016-01-01,1,0.9,180,985
1,2014-06-20,0.285714285714286,0.9,180,986
2,2015-01-12,0.8,0.9,180,986
3,2015-01-24,0.857142857142857,0.9,180,986
4,2015-12-17,0.888888888888889,0.9,180,986
1,2014-12-21,0.416666666666667,0.9,180,989
2,2014-12-31,0.636363636363636,0.9,180,989
3,2015-01-03,0.736842105263158,0.9,180,989
4,2015-12-31,0.846153846153846,0.9,180,989
1,2015-12-31,1,0.9,180,990
1,2016-01-21,0.857142857142857,0.9,180,992
1,2015-12-23,0.666666666666667,0.9,180,993
1,2015-04-24,0.333333333333333,0.9,180,994
1,2015-03-01,0.333333333333333,0.9,180,1004
2,2015-12-30,1,0.9,180,1004
1,2014-07-23,1,0.9,180,1005
1,2014-08-06,0.333333333333333,0.9,180,1006
2,2015-11-29,1,0.9,180,1006
1,2015-01-09,0.5,0.9,180,1007
2,2015-12-25,1,0.9,180,1007
1,2015-08-16,0.333333333333333,0.9,180,1012
1,2014-12-09,0.857142857142857,0.9,180,1013
2,2015-01-10,1,0.9,180,1013
3,2015-10-16,0.5,0.9,180,1013
1,2014-12-10,0.888888888888889,0.9,180,1014
2,2014-12-22,0.666666666666667,0.9,180,1014
3,2015-12-15,0.5,0.9,180,1014
1,2014-08-11,0.222222222222222,0.9,180,1015
2,2014-12-07,1,0.9,180,1015
3,2014-12-10,1,0.9,180,1015
4,2015-12-23,0.818181818181818,0.9,180,1015
1,2014-12-10,0.666666666666667,0.9,180,1016
2,2014-12-29,0.3,0.9,180,1016
3,2015-01-19,0.5,0.9,180,1016
4,2015-12-23,0.222222222222222,0.9,180,1016
1,2014-12-12,0.25,0.9,180,1017
2,2016-01-24,0.8,0.9,180,1017
1,2014-12-12,0.75,0.9,180,1018
2,2015-01-09,0.333333333333333,0.9,180,1018
3,2016-01-09,0.857142857142857,0.9,180,1018
1,2014-11-30,1,0.9,180,1019
2,2014-12-22,1,0.9,180,1019
3,2015-01-01,0.5,0.9,180,1019
4,2015-12-31,1,0.9,180,1019
1,2015-01-03,0.5,0.9,180,1020
2,2015-01-15,0.4,0.9,180,1020
3,2015-01-21,0.25,0.9,180,1020
4,2016-01-15,1,0.9,180,1020
1,2013-12-02,0.5,0.9,180,1021
1,2015-12-22,0.818181818181818,0.9,180,1022
1,2015-01-21,1,0.9,180,1024
1,2014-10-05,0.5,0.9,180,1026
1,2015-02-15,1,0.9,180,1027
2,2015-02-26,1,0.9,180,1027
3,2015-03-15,1,0.9,180,1027
1,2015-07-30,1,0.9,180,1031
1,2015-11-29,0.5,0.9,180,1032
1,2014-06-06,1,0.9,180,1033
2,2016-01-29,1,0.9,180,1033
1,2015-12-26,0.6,0.9,180,1034
1,2015-02-28,0.666666666666667,0.9,180,1035
1,2015-01-10,0.5,0.9,180,1039
2,2015-11-15,1,0.9,180,1039
1,2014-06-10,0.714285714285714,0.9,180,1041
2,2015-01-06,1,0.9,180,1041
1,2014-12-09,0.75,0.9,180,1042
2,2015-01-05,0.777777777777778,0.9,180,1042
1,2014-12-11,1,0.9,180,1043
2,2015-01-06,1,0.9,180,1043
1,2014-11-11,1,0.9,180,1044
2,2014-12-29,0.5,0.9,180,1044
3,2015-01-06,1,0.9,180,1044
4,2015-12-24,0.25,0.9,180,1044
1,2014-11-11,1,0.9,180,1045
2,2015-01-08,0.833333333333333,0.9,180,1045
1,2014-12-14,0.333333333333333,0.9,180,1047
1,2015-12-27,1,0.9,180,1048
1,2015-12-29,0.6,0.9,180,1049
1,2016-01-30,0.416666666666667,0.9,180,1050
1,2015-12-31,0.5,0.9,180,1051
1,2016-01-21,0.857142857142857,0.9,180,1052
1,2016-01-21,0.75,0.9,180,1053
1,2015-02-15,1,0.9,180,1056
2,2015-02-26,1,0.9,180,1056
3,2015-03-15,1,0.9,180,1056
1,2015-02-15,1,0.9,180,1057
2,2015-02-26,1,0.9,180,1057
3,2015-03-15,1,0.9,180,1057
1,2015-02-14,0.75,0.9,180,1058
2,2015-03-02,1,0.9,180,1058
1,2015-02-14,1,0.9,180,1059
2,2015-02-16,1,0.9,180,1059
3,2015-03-02,0.666666666666667,0.9,180,1059
1,2015-03-03,0.333333333333333,0.9,180,1060
1,2015-09-11,1,0.9,180,1061
1,2016-01-12,1,0.9,180,1064
1,2015-12-26,0.8,0.9,180,1065
1,2014-09-23,0.666666666666667,0.9,180,1067
2,2015-01-05,0.875,0.9,180,1067
3,2015-12-14,0.454545454545455,0.9,180,1067
1,2014-12-08,0.8,0.9,180,1068
2,2015-01-05,1,0.9,180,1068
3,2016-01-13,0.25,0.9,180,1068
1,2014-12-06,1,0.9,180,1069
2,2014-12-09,0.875,0.9,180,1069
1,2014-12-09,1,0.9,180,1070
2,2015-01-05,1,0.9,180,1070
3,2016-01-23,0.5,0.9,180,1070
1,2014-12-10,1,0.9,180,1071
2,2015-01-06,1,0.9,180,1071
1,2014-10-10,1,0.9,180,1072
1,2015-12-25,0.333333333333333,0.9,180,1074
1,2015-12-29,0.666666666666667,0.9,180,1077
1,2014-12-07,0.3,0.9,180,1078
2,2014-12-21,0.5,0.9,180,1078
3,2016-01-29,0.888888888888889,0.9,180,1078
1,2016-01-30,0.857142857142857,0.9,180,1079
1,2016-01-08,1,0.9,180,1080
1,2015-09-16,1,0.9,180,1083
1,2015-02-25,0.5,0.9,180,1085
2,2015-03-13,0.5,0.9,180,1085
1,2015-02-16,0.5,0.9,180,1086
2,2015-02-26,0.5,0.9,180,1086
3,2015-03-16,0.6,0.9,180,1086
1,2012-12-01,0.333333333333333,0.9,180,1093
1,2015-01-11,1,0.9,180,1094
2,2015-12-25,1,0.9,180,1094
1,2015-03-31,0.5,0.9,180,1095
2,2016-01-25,1,0.9,180,1095
1,2015-01-05,1,0.9,180,1098
2,2015-01-09,0.5,0.9,180,1098
1,2014-10-09,1,0.9,180,1099
2,2015-01-05,0.666666666666667,0.9,180,1099
3,2015-12-24,1,0.9,180,1099
1,2014-10-10,0.666666666666667,0.9,180,1100
2,2015-01-08,0.8,0.9,180,1100
1,2014-12-11,0.888888888888889,0.9,180,1101
2,2014-12-28,1,0.9,180,1101
3,2015-01-08,1,0.9,180,1101
1,2014-12-28,0.571428571428571,0.9,180,1102
2,2015-01-08,0.8,0.9,180,1102
3,2015-01-26,0.571428571428571,0.9,180,1102
4,2015-12-26,0.5,0.9,180,1102
1,2015-12-27,0.25,0.9,180,1103
1,2015-12-29,1,0.9,180,1104
1,2014-12-20,0.25,0.9,180,1106
2,2015-12-30,0.75,0.9,180,1106
1,2015-11-30,1,0.9,180,1107
1,2015-12-24,1,0.9,180,1108
1,2015-12-16,1,0.9,180,1112
1,2015-12-16,1,0.9,180,1113
1,2016-01-15,0.5,0.9,180,1115
1,2016-01-17,1,0.9,180,1119
1,2013-12-06,0.25,0.9,180,1121
2,2015-02-11,1,0.9,180,1121
3,2015-03-10,1,0.9,180,1121
1,2015-02-12,1,0.9,180,1122
2,2015-02-12,1,0.9,180,1122
3,2015-03-09,1,0.9,180,1122
1,2015-02-25,1,0.9,180,1123
1,2015-02-25,0.5,0.9,180,1124
1,2015-03-04,1,0.9,180,1125
2,2015-03-16,1,0.9,180,1125
1,2014-06-03,0.25,0.9,180,1130
1,2015-12-25,0.333333333333333,0.9,180,1131
1,2015-03-01,1,0.9,180,1132
2,2016-01-24,1,0.9,180,1132
1,2015-01-09,0.5,0.9,180,1133
1,2014-12-02,1,0.9,180,1136
2,2015-01-08,0.4,0.9,180,1136
3,2016-01-13,0.5,0.9,180,1136
1,2015-12-31,0.75,0.9,180,1138
1,2015-11-30,1,0.9,180,1139
1,2015-12-17,1,0.9,180,1145
1,2016-02-12,0.363636363636364,0.9,180,1146
1,2016-01-15,1,0.9,180,1147
1,2016-01-14,1,0.9,180,1148
1,2015-05-23,1,0.9,180,1149
1,2016-01-17,1,0.9,180,1153
1,2016-01-11,1,0.9,180,1158
1,2015-04-13,1,0.9,180,1159
1,2015-02-26,1,0.9,180,1160
2,2015-03-24,0.5,0.9,180,1160
3,2015-05-26,1,0.9,180,1160
1,2015-02-09,0.75,0.9,180,1161
2,2015-03-11,0.6,0.9,180,1161
3,2015-05-27,1,0.9,180,1161
1,2015-02-09,1,0.9,180,1162
2,2015-02-11,0.6,0.9,180,1162
3,2015-03-11,1,0.9,180,1162
1,2015-02-12,0.5,0.9,180,1163
2,2015-03-08,0.5,0.9,180,1163
1,2015-02-12,1,0.9,180,1164
2,2015-02-12,1,0.9,180,1164
3,2015-03-09,0.75,0.9,180,1164
1,2015-02-25,1,0.9,180,1166
2,2015-03-14,1,0.9,180,1166
1,2015-02-27,1,0.9,180,1167
2,2015-03-17,1,0.9,180,1167
1,2015-02-27,1,0.9,180,1168
2,2015-03-15,1,0.9,180,1168
1,2015-03-02,1,0.9,180,1169
2,2015-03-16,1,0.9,180,1169
3,2015-03-19,1,0.9,180,1169
1,2014-10-03,1,0.9,180,1173
1,2014-09-02,1,0.9,180,1176
2,2015-05-02,0.5,0.9,180,1176
1,2015-03-03,1,0.9,180,1177
2,2016-01-22,1,0.9,180,1177
1,2015-01-31,1,0.9,180,1178
1,2015-12-25,0.5,0.9,180,1181
1,2014-11-01,0.666666666666667,0.9,180,1184
2,2015-01-14,0.947368421052632,0.9,180,1184
3,2015-12-14,0.578947368421053,0.9,180,1184
