"grid_cell","mid_x","mid_y","catchment","cluster_id","cluster_dist"
3593,27.4536704398705,-17.0721518825243,"buleyamalima","81111_5",5.61307922468949
3594,27.4536704398705,-17.0631687296831,"buleyamalima","81111_5",5.65165959052599
3608,27.4631208862287,-17.0991013410479,"buleyamalima","81111_5",5.65157653103674
3609,27.4631208862287,-17.0901181882067,"buleyamalima","81111_5",5.13560336908898
3610,27.4631208862287,-17.0811350353655,"buleyamalima","81111_5",4.77582728919564
3611,27.4631208862287,-17.0721518825243,"buleyamalima","81111_5",4.60897280107466
3612,27.4631208862287,-17.0631687296831,"buleyamalima","81111_5",4.65582795204679
3628,27.472571332587,-17.0991013410479,"buleyamalima","81111_5",4.8682873760079
3629,27.472571332587,-17.0901181882067,"buleyamalima","81111_5",4.25839518083803
3630,27.472571332587,-17.0631687296831,"buleyamalima","81111_5",3.66538550060693
3654,27.4820217789452,-17.1080844938891,"buleyamalima","81111_5",5.00491440083262
3655,27.4820217789452,-17.0901181882067,"buleyamalima","81111_5",3.45195365304534
3656,27.4820217789452,-17.0631687296831,"buleyamalima","81111_5",2.68629987038995
3686,27.4914722253035,-17.1260507995715,"buleyamalima","81111_2",5.86654991073213
3687,27.4914722253035,-17.1170676467303,"buleyamalima","81111_2",5.2916017890037
3688,27.4914722253035,-17.1080844938891,"buleyamalima","81111_5",4.56663706525927
3689,27.4914722253035,-17.0991013410479,"buleyamalima","81111_5",3.64518584064694
3690,27.4914722253035,-17.0901181882067,"buleyamalima","81111_5",2.77859415871218
3691,27.4914722253035,-17.0811350353655,"buleyamalima","81111_5",2.03808516596589
3692,27.4914722253035,-17.054185576842,"buleyamalima","81111_5",2.3352532693326
3693,27.4914722253035,-17.0452024240008,"sinamalima","81111_5",3.14429854061288
3694,27.4914722253035,-17.0362192711596,"sinamalima","81111_5",4.03977954249875
3695,27.4914722253035,-17.0272361183184,NA,"81111_5",4.97524111480115
3696,27.4914722253035,-17.0182529654772,NA,"80204_9",5.54535141233538
3697,27.4914722253035,-16.96435404843,"chisanga","80204_9",2.91539390511321
3727,27.5009226716618,-17.1350339524127,"buleyamalima","81111_2",5.89079958434255
3728,27.5009226716618,-17.1260507995715,"buleyamalima","81111_2",5.12696490101056
3729,27.5009226716618,-17.1170676467303,"buleyamalima","81111_2",4.45757986401053
3730,27.5009226716618,-17.1080844938891,"buleyamalima","81111_2",3.93119157335507
3731,27.5009226716618,-17.0811350353655,"sinamalima","81111_5",1.40742137173364
3732,27.5009226716618,-17.0721518825243,"sinamalima","81111_5",0.643378485406627
3733,27.5009226716618,-17.0631687296831,"sinamalima","81111_5",0.920346037037798
3734,27.5009226716618,-17.054185576842,"sinamalima","81111_5",1.81111506393019
3735,27.5009226716618,-17.0452024240008,"sinamalima","81111_5",2.777271811734
3736,27.5009226716618,-17.0362192711596,"sinamalima","81111_5",3.76116200824177
3737,27.5009226716618,-17.0272361183184,NA,"81111_5",4.75178288464107
3738,27.5009226716618,-16.9913035069536,"chisanga","80204_9",2.49863765246459
3739,27.5009226716618,-16.96435404843,"chisanga","80204_9",2.02900467568566
3769,27.51037311802,-17.1350339524127,"buleyamalima","81111_2",5.34724992385339
3770,27.51037311802,-17.1170676467303,"buleyamalima","81111_2",3.7095808894372
3771,27.51037311802,-17.1080844938891,"buleyamalima","81111_2",3.05695020091045
3772,27.51037311802,-17.0991013410479,"buleyamalima","81111_2",2.63228011067995
3773,27.51037311802,-17.0901181882067,"buleyamalima","81111_5",2.32323683558078
3774,27.51037311802,-17.0811350353655,"sinamalima","81111_5",1.35296826138226
3775,27.51037311802,-17.0721518825243,"sinamalima","81111_5",0.513436301222863
3776,27.51037311802,-17.0631687296831,"sinamalima","81111_5",0.834691890171493
3777,27.51037311802,-17.054185576842,"sinamalima","81111_5",1.76912528233101
3778,27.51037311802,-16.9823203541124,"chisanga","80204_9",1.08485559701776
3779,27.51037311802,-16.9733372012712,"chisanga","80204_9",0.684121412642831
