"mid.x","mid.y","loc.id","catch.y"
26.4330222331791,-17.4584274546957,37,NA
26.4330222331791,-17.4314779961722,38,NA
26.4330222331791,-17.422494843331,39,NA
26.4330222331791,-17.4135116904898,40,NA
26.4330222331791,-17.3865622319662,41,NA
26.4330222331791,-17.377579079125,42,NA
26.4330222331791,-17.3685959262838,43,NA
26.4330222331791,-17.3596127734426,44,NA
26.4424726795374,-17.4763937603781,45,NA
26.4424726795374,-17.4763937603781,45,"Luyaba"
26.4424726795374,-17.4674106075369,46,"Luyaba"
26.4424726795374,-17.4584274546957,47,NA
26.4424726795374,-17.4314779961722,48,"Luyaba"
26.4424726795374,-17.422494843331,49,NA
26.4424726795374,-17.4135116904898,50,NA
26.4424726795374,-17.377579079125,51,NA
26.4424726795374,-17.3685959262838,52,NA
26.4519231258956,-17.4763937603781,53,"Luyaba"
26.4519231258956,-17.4674106075369,54,"Luyaba"
26.4519231258956,-17.422494843331,55,"Luyaba"
26.4519231258956,-17.422494843331,55,NA
26.4519231258956,-17.3865622319662,56,NA
26.4519231258956,-17.377579079125,57,NA
26.4519231258956,-17.3685959262838,58,NA
26.4613735722539,-17.4763937603781,59,"Luyaba"
26.4613735722539,-17.4584274546957,60,"Luyaba"
26.4613735722539,-17.4494443018545,61,"Luyaba"
26.4613735722539,-17.4404611490133,62,"Luyaba"
26.4613735722539,-17.4314779961722,63,"Luyaba"
26.4613735722539,-17.422494843331,64,"Luyaba"
26.4613735722539,-17.3865622319662,65,NA
26.4613735722539,-17.377579079125,66,NA
26.4708240186121,-17.4853769132193,67,"Luyaba"
26.4708240186121,-17.4763937603781,68,"Luyaba"
26.4708240186121,-17.4674106075369,69,"Luyaba"
26.4708240186121,-17.4584274546957,70,"Luyaba"
26.4708240186121,-17.4494443018545,71,"Luyaba"
26.4708240186121,-17.4404611490133,72,"Luyaba"
26.4708240186121,-17.4314779961722,73,"Luyaba"
26.4708240186121,-17.422494843331,74,"Luyaba"
26.4802744649704,-17.8447030268671,75,"Mapatizya"
26.4802744649704,-17.4853769132193,76,"Luyaba"
26.4802744649704,-17.4763937603781,77,"Luyaba"
26.4802744649704,-17.4674106075369,78,"Luyaba"
26.4802744649704,-17.4584274546957,79,"Luyaba"
26.4802744649704,-17.4494443018545,80,"Luyaba"
26.4802744649704,-17.4404611490133,81,"Luyaba"
26.4802744649704,-17.4314779961722,82,"Luyaba"
26.4802744649704,-17.0272361183184,83,NA
26.4802744649704,-17.0182529654772,84,NA
26.4897249113287,-17.8267367211847,85,"Mapatizya"
26.4897249113287,-17.4763937603781,86,"Luyaba"
26.4897249113287,-17.4674106075369,87,"Luyaba"
26.4897249113287,-17.4584274546957,88,"Luyaba"
26.4897249113287,-17.4494443018545,89,"Luyaba"
26.4897249113287,-17.4314779961722,90,"Luyaba"
26.4897249113287,-17.0272361183184,91,NA
26.4897249113287,-16.7038426160353,92,NA
26.4991753576869,-17.8896187910731,93,"Mapatizya"
26.4991753576869,-17.8536861797083,94,"Mapatizya"
26.4991753576869,-17.4674106075369,95,"Luyaba"
26.4991753576869,-17.4584274546957,96,"Luyaba"
26.4991753576869,-17.4494443018545,97,"Luyaba"
26.4991753576869,-17.4404611490133,98,"Luyaba"
26.4991753576869,-17.4314779961722,99,"Luyaba"
26.4991753576869,-17.422494843331,100,"Luyaba"
26.5086258040452,-17.8986019439143,101,"Mapatizya"
26.5086258040452,-17.8896187910731,102,"Mapatizya"
26.5086258040452,-17.8626693325495,103,"Mapatizya"
26.5086258040452,-17.8447030268671,104,"Mapatizya"
26.5086258040452,-17.8267367211847,105,"Mapatizya"
26.5086258040452,-17.4584274546957,106,"Luyaba"
26.5086258040452,-17.4404611490133,107,"Luyaba"
26.5086258040452,-17.4314779961722,108,"Luyaba"
26.5086258040452,-17.422494843331,109,"Luyaba"
26.5180762504034,-17.8716524853907,110,"Mapatizya"
26.5180762504034,-17.8626693325495,111,"Mapatizya"
26.5180762504034,-17.8267367211847,112,"Mapatizya"
26.5180762504034,-17.4763937603781,113,"Luyaba"
26.5180762504034,-17.4584274546957,114,"Luyaba"
26.5180762504034,-17.4494443018545,115,"Luyaba"
26.5180762504034,-17.4404611490133,116,"Luyaba"
26.5180762504034,-17.4314779961722,117,"Luyaba"
26.5180762504034,-17.422494843331,118,"Luyaba"
26.5180762504034,-17.4135116904898,119,"Luyaba"
26.5275266967617,-17.8896187910731,120,"Mapatizya"
26.5275266967617,-17.4404611490133,121,"Luyaba"
26.5275266967617,-17.4314779961722,122,"Luyaba"
26.5275266967617,-17.422494843331,123,"Luyaba"
26.5275266967617,-17.4135116904898,124,"Luyaba"
26.5369771431199,-17.8896187910731,125,"Mapatizya"
26.5369771431199,-17.8626693325495,126,"Mapatizya"
26.5369771431199,-17.8536861797083,127,"Mapatizya"
26.5369771431199,-17.8357198740259,128,"Mapatizya"
26.5369771431199,-17.7638546512964,129,"Mapatizya"
26.5369771431199,-17.4404611490133,130,"Luyaba"
26.5369771431199,-17.4314779961722,131,"Luyaba"
26.5369771431199,-17.422494843331,132,"Luyaba"
26.5369771431199,-17.4135116904898,133,"Luyaba"
26.5369771431199,-17.4045285376486,134,"Luyaba"
26.5369771431199,-17.3955453848074,135,"Luyaba"
26.5369771431199,-17.3865622319662,136,"Luyaba"
26.5464275894782,-17.7728378041376,137,"Mapatizya"
26.5464275894782,-17.7638546512964,138,"Mapatizya"
26.5464275894782,-17.4494443018545,139,"Luyaba"
26.5464275894782,-17.4404611490133,140,"Luyaba"
26.5464275894782,-17.4314779961722,141,"Luyaba"
