"mid.x","mid.y","grid.cell","catch","maxpop"
27.6143280279608,-17.009269812636,4227,"Chiyabi",26
27.6143280279608,-17.0002866597948,4228,"Chiyabi",9
27.623778474319,-17.0362192711596,4258,"Chiyabi",23
27.623778474319,-17.0272361183184,4259,"Chiyabi",61
27.623778474319,-17.0002866597948,4260,"Chiyabi",34
27.6332289206773,-17.0272361183184,4284,"Chiyabi",61
27.6332289206773,-17.0182529654772,4285,"Chiyabi",18
27.6332289206773,-17.009269812636,4286,"Chiyabi",258
27.6332289206773,-16.96435404843,4287,"Chiyabi",21
27.6426793670356,-17.0362192711596,4309,"Chiyabi",45
27.6426793670356,-17.0272361183184,4310,"Chiyabi",44
27.6426793670356,-17.0182529654772,4311,"Chiyabi",161
27.6426793670356,-17.009269812636,4312,"Chiyabi",193
27.6426793670356,-16.9823203541124,4313,"Chiyabi",6
27.6426793670356,-16.96435404843,4314,"Chiyabi",36
27.6521298133938,-17.0362192711596,4332,"Chiyabi",300
27.6521298133938,-17.0272361183184,4333,"Chiyabi",159
27.6521298133938,-17.0182529654772,4334,"Chiyabi",51
27.6521298133938,-17.009269812636,4335,"Chiyabi",16
27.6521298133938,-16.9913035069536,4336,"Chiyabi",81
27.6521298133938,-16.9823203541124,4337,"Chiyabi",41
27.6521298133938,-16.9733372012712,4338,"Chiyabi",6
27.6521298133938,-16.96435404843,4339,"Chiyabi",17
27.6615802597521,-17.0362192711596,4357,"Chiyabi",22
27.6615802597521,-17.009269812636,4358,"Chiyabi",67
27.6615802597521,-17.0002866597948,4359,"Chiyabi",101
27.6615802597521,-16.9913035069536,4360,"Chiyabi",23
27.6615802597521,-16.9823203541124,4361,"Chiyabi",388
27.6615802597521,-16.9733372012712,4362,"Chiyabi",819
27.6615802597521,-16.96435404843,4363,"Chiyabi",5
27.6710307061103,-17.009269812636,4383,"Chiyabi",34
27.6710307061103,-17.0002866597948,4384,"Chiyabi",19
27.6710307061103,-16.9913035069536,4385,"Chiyabi",4
27.6710307061103,-16.9823203541124,4386,"Chiyabi",23
27.6710307061103,-16.9733372012712,4387,"Chiyabi",359
27.6804811524686,-17.009269812636,4410,"Chiyabi",85
27.6804811524686,-17.0002866597948,4411,"Chiyabi",12
27.6804811524686,-16.9733372012712,4412,"Chiyabi",276
27.6899315988268,-17.0452024240008,4432,"Chiyabi",20
27.6899315988268,-17.009269812636,4433,"Chiyabi",62
27.6899315988268,-17.0002866597948,4434,"Chiyabi",26
27.6899315988268,-16.9823203541124,4435,"Chiyabi",14
27.6993820451851,-17.0452024240008,4457,"Chiyabi",32
27.6993820451851,-16.9913035069536,4458,"Chiyabi",41
27.6993820451851,-16.9823203541124,4459,"Chiyabi",45
27.6993820451851,-16.9733372012712,4460,"Chiyabi",85
27.6993820451851,-16.96435404843,4461,"Chiyabi",112
27.7088324915433,-17.0002866597948,4487,"Chiyabi",3
27.7088324915433,-16.9913035069536,4488,"Chiyabi",7
27.7088324915433,-16.9823203541124,4489,"Chiyabi",384
27.7088324915433,-16.9733372012712,4490,"Chiyabi",68
27.7088324915433,-16.96435404843,4491,"Chiyabi",9
