,lon,lat,node_label,pop
116,28.1341025777,-16.6229942405,5476,44.0
117,28.1341025777,-16.6140110876,5477,26.0
118,28.1341025777,-16.6050279348,5478,44.0
119,28.1341025777,-16.5960447819,5479,14.0
120,28.1341025777,-16.5421458649,5480,35.0
121,28.143553024,-16.6858763104,5488,15.0
122,28.143553024,-16.6768931575,5489,24.0
123,28.143553024,-16.6679100047,5490,45.0
124,28.143553024,-16.6589268518,5491,20.0
125,28.143553024,-16.649943699,5492,11.0
126,28.143553024,-16.6409605461,5493,42.0
127,28.143553024,-16.6229942405,5494,23.0
128,28.143553024,-16.6140110876,5495,28.0
129,28.143553024,-16.6050279348,5496,6.0
130,28.1530034704,-16.6858763104,5500,4.0
131,28.1530034704,-16.6768931575,5501,59.0
132,28.1530034704,-16.6679100047,5502,28.0
133,28.1530034704,-16.6589268518,5503,43.0
134,28.1530034704,-16.649943699,5504,29.0
135,28.1530034704,-16.6409605461,5505,51.0
136,28.1530034704,-16.6229942405,5506,11.0
137,28.1530034704,-16.6140110876,5507,7.0
138,28.1530034704,-16.6050279348,5508,12.0
139,28.1624539167,-16.6679100047,5512,45.0
140,28.1624539167,-16.6589268518,5513,108.0
141,28.1624539167,-16.649943699,5514,20.0
142,28.1624539167,-16.6050279348,5515,49.0
143,28.1624539167,-16.5421458649,5516,13.0
144,28.1624539167,-16.5331627121,5517,10.0
145,28.1719043631,-16.6679100047,5521,3.0
146,28.1719043631,-16.6589268518,5522,106.0
147,28.1719043631,-16.6229942405,5523,10.0
148,28.1719043631,-16.6140110876,5524,22.0
149,28.1719043631,-16.6050279348,5525,26.0
150,28.1719043631,-16.5870616291,5526,19.0
151,28.1719043631,-16.5511290177,5527,41.0
152,28.1719043631,-16.5421458649,5528,41.0
153,28.1719043631,-16.5331627121,5529,56.0
154,28.1813548095,-16.649943699,5533,3.0
155,28.1813548095,-16.6229942405,5534,7.0
156,28.1813548095,-16.6140110876,5535,70.0
157,28.1813548095,-16.6050279348,5536,41.0
158,28.1813548095,-16.5780784763,5537,27.0
159,28.1813548095,-16.5511290177,5538,52.0
160,28.1813548095,-16.5331627121,5539,14.0
161,28.1908052558,-16.6229942405,5544,13.0
162,28.1908052558,-16.6140110876,5545,26.0
163,28.1908052558,-16.5780784763,5546,33.0
164,28.1908052558,-16.5511290177,5547,19.0
165,28.2002557022,-16.6319773933,5553,71.0
166,28.2002557022,-16.6229942405,5554,91.0
167,28.2002557022,-16.6050279348,5555,32.0
168,28.2002557022,-16.5960447819,5556,11.0
169,28.2002557022,-16.5241795592,5557,6.0
170,28.2097061485,-16.6589268518,5561,16.0
171,28.2097061485,-16.649943699,5562,55.0
172,28.2097061485,-16.6409605461,5563,45.0
173,28.2097061485,-16.6319773933,5564,65.0
174,28.2097061485,-16.6229942405,5565,22.0
175,28.2097061485,-16.5960447819,5566,30.0
176,28.2097061485,-16.5780784763,5567,59.0
177,28.2097061485,-16.5690953234,5568,33.0
178,28.2097061485,-16.5331627121,5569,9.0
179,28.2191565949,-16.6409605461,5572,69.0
180,28.2191565949,-16.6319773933,5573,16.0
181,28.2191565949,-16.6229942405,5574,36.0
182,28.2191565949,-16.6140110876,5575,20.0
183,28.2191565949,-16.6050279348,5576,42.0
184,28.2191565949,-16.5960447819,5577,25.0
185,28.2191565949,-16.5870616291,5578,90.0
186,28.2191565949,-16.5780784763,5579,9.0
187,28.2191565949,-16.5690953234,5580,30.0
188,28.2191565949,-16.5331627121,5581,38.0
189,28.2191565949,-16.5241795592,5582,10.0
190,28.2191565949,-16.5151964064,5583,23.0
191,28.2191565949,-16.4972301007,5584,37.0
192,28.2191565949,-16.4882469478,5585,78.0
193,28.2286070412,-16.649943699,5586,19.0
194,28.2286070412,-16.6409605461,5587,30.0
195,28.2286070412,-16.6319773933,5588,9.0
196,28.2286070412,-16.6229942405,5589,13.0
197,28.2286070412,-16.6140110876,5590,33.0
198,28.2286070412,-16.6050279348,5591,31.0
199,28.2286070412,-16.5960447819,5592,33.0
